"b_alt1","b_alt2","b_wald_","b_groe_","b_FoUnt_","b_ConSh_","b_HaAge_","b_prei_","logLike"
0,0,0,0,0,0,0,0,-12527.4759276825
0,0,0,0,0,0,0,0,-12527.4759276825
-2.766848e-05,-2.318336e-05,-2.97984e-05,-4.466688e-05,-4.765696e-05,-6.508544e-05,-4.892672e-05,-0.0048828416,-11657.7601721423
-0.139101708902854,-0.069749764423551,0.133404209882847,-0.108236798207474,-0.0965097975790875,-0.424138338604418,-0.0229586069184179,4.36038803456867e-05,-11401.5914313411
-0.218373822314525,-0.10084867343225,0.393479452566049,-0.0221741926880895,0.013850854282562,-0.580516151041212,0.0674227584112483,-0.00284249977753432,-11318.3586151452
-0.491575991009149,-0.44421791532576,0.477146701941039,-0.153056346447419,0.30306195508372,-0.562707263128421,0.0638909033855959,-0.00269194817862445,-11273.3470587811
-1.06194462994497,-1.11402518124235,0.516537968510284,-0.0641753205656354,0.346474292972347,-0.457155069733775,0.295431845504442,-0.00238854265105903,-11196.9542520947
-1.2535116564126,-1.27017544312422,0.572996957617421,-0.0139356626480548,0.326389898179939,-0.397280845287324,0.253635282316273,-0.00178061403956574,-11160.6465217221
-1.26036239355636,-1.26523342392998,0.570292910692212,-0.0133604578481523,0.328237940317841,-0.397451241406581,0.254943222135527,-0.00178518751932471,-11160.2676699341
-1.25616179759259,-1.22146991102303,0.605238649984206,-0.0726436869892594,0.288060340881344,-0.354260609636048,0.28115595223026,-0.00242453236166296,-11116.5002097118
-1.10544978714347,-1.09707399880388,0.504928160983174,0.0305954404993585,0.261476387737276,-0.349215215665659,0.194078824560988,-0.00509964860251075,-10838.9860867241
-1.00808979071719,-0.971198627410094,0.500150181986017,0.0412315881670254,0.223937245650368,-0.320691488790426,0.168870869426925,-0.00826110847605094,-10751.3982324104
-0.998441470025723,-0.957286330575167,0.516220689723234,0.0353732643043343,0.229710564613355,-0.332331842244484,0.168931630486585,-0.00872589325791708,-10749.7511621929
-0.999447961964454,-0.956891063397555,0.520621244618614,0.0337166840944903,0.232720999112855,-0.336066925408756,0.169181631521439,-0.00880129744835591,-10749.6928323038
-0.999795351322094,-0.957078609010632,0.520835558825,0.0336490136794723,0.233024650592266,-0.336359134890206,0.169153030518517,-0.00880089017174981,-10749.6925613884
-0.999826080437524,-0.957083215596709,0.520835677559194,0.0336469347715369,0.233042745165495,-0.336381409483888,0.169140043695575,-0.00880032480528053,-10749.6925582486
-0.999826080583381,-0.957083215428675,0.520835677633495,0.0336469348137821,0.233042745387534,-0.336381409643508,0.169140043636437,-0.00880030270418038,-10749.6925582471
-0.999827834552962,-0.957082673042608,0.520834964152728,0.0336469324352784,0.233042625578562,-0.336381590731604,0.169139964573472,-0.00880030612347687,-10749.6925582363
